,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_lambdarank_num_pair_per_sample,params_learning_rate,params_max_depth,params_subsample,state
0,0,0.4206785983318292,2024-05-16 12:43:53.745491,2024-05-16 12:44:58.764491,0 days 00:01:05.019000,0.9772737042527808,6,0.14202089114368735,10,0.736599609111057,COMPLETE
1,1,0.42087808099575374,2024-05-16 12:44:58.764993,2024-05-16 12:45:48.042337,0 days 00:00:49.277344,0.7579352532474113,3,0.14506133959808337,7,0.8958064365338927,COMPLETE
2,2,0.42037050123113784,2024-05-16 12:45:48.042907,2024-05-16 12:46:35.489773,0 days 00:00:47.446866,0.6123121548289875,8,0.06039289806941578,3,0.9606261241204994,COMPLETE
3,3,0.4206454371750681,2024-05-16 12:46:35.490230,2024-05-16 12:47:32.687270,0 days 00:00:57.197040,0.830921956324131,8,0.13570110521129827,7,0.9533423673422528,COMPLETE
4,4,0.4206316879013225,2024-05-16 12:47:32.688122,2024-05-16 12:48:45.912805,0 days 00:01:13.224683,0.9823865632880444,7,0.0876126742611903,7,0.7940183652604016,COMPLETE
5,5,0.42058260840454686,2024-05-16 12:48:45.913663,2024-05-16 12:49:42.681000,0 days 00:00:56.767337,0.8354769530933577,6,0.17016305238666868,5,0.9329185093789099,COMPLETE
6,6,0.4209646366483549,2024-05-16 12:49:42.681463,2024-05-16 12:50:42.321023,0 days 00:00:59.639560,0.5297261954576888,4,0.163435551152291,10,0.8716657255425893,COMPLETE
7,7,0.42061397556666363,2024-05-16 12:50:42.321513,2024-05-16 12:51:31.885699,0 days 00:00:49.564186,0.742657794432684,4,0.1007889930720159,5,0.7003564908541463,COMPLETE
8,8,0.4206752875832608,2024-05-16 12:51:31.886114,2024-05-16 12:52:45.765665,0 days 00:01:13.879551,0.8263966328762004,9,0.033541232475595636,10,0.9924586551648993,COMPLETE
9,9,0.4206976559268681,2024-05-16 12:52:45.766075,2024-05-16 12:53:58.304044,0 days 00:01:12.537969,0.9700087182223636,9,0.13934166990491242,9,0.5863476655416684,COMPLETE
10,10,0.4211928406626523,2024-05-16 12:53:58.304462,2024-05-16 12:54:51.807931,0 days 00:00:53.503469,0.5098861528795354,2,0.18654732888773493,9,0.8325860926013617,COMPLETE
