,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_lambdarank_num_pair_per_sample,params_learning_rate,params_max_depth,params_subsample,state
0,0,0.5592838147966114,2024-05-17 14:44:37.219645,2024-05-17 14:45:11.018455,0 days 00:00:33.798810,0.9098082843293732,6,0.17538949040231952,7,0.9287663054677666,COMPLETE
1,1,0.5729051371368762,2024-05-17 14:45:11.019013,2024-05-17 14:45:35.303855,0 days 00:00:24.284842,0.7465139562301877,3,0.07481109794183231,3,0.5519322137725307,COMPLETE
2,2,0.549393095664945,2024-05-17 14:45:35.304333,2024-05-17 14:47:25.104431,0 days 00:01:49.800098,0.9549982310902005,3,0.14657687762847982,16,0.680469286625275,COMPLETE
3,3,0.5609267200755965,2024-05-17 14:47:25.104944,2024-05-17 14:48:03.502237,0 days 00:00:38.397293,0.5490316507138224,9,0.07073954776671834,6,0.7401014112162427,COMPLETE
4,4,0.5705103155015044,2024-05-17 14:48:03.502681,2024-05-17 14:48:31.846242,0 days 00:00:28.343561,0.7123263321491193,2,0.12884518183582172,7,0.5115579853834358,COMPLETE
5,5,0.5484518931081821,2024-05-17 14:48:31.846693,2024-05-17 14:49:25.287400,0 days 00:00:53.440707,0.6421809329217786,9,0.026946064016728895,11,0.5222682368787573,COMPLETE
6,6,0.564533041432866,2024-05-17 14:49:25.288285,2024-05-17 14:50:21.950593,0 days 00:00:56.662308,0.6810442976183468,2,0.17044984057606116,14,0.5938912182560993,COMPLETE
7,7,0.5627707521653815,2024-05-17 14:50:21.951095,2024-05-17 14:51:09.956440,0 days 00:00:48.005345,0.7693741827267138,5,0.07265337280233992,11,0.6522401063151421,COMPLETE
8,8,0.5375896711375381,2024-05-17 14:51:09.957305,2024-05-17 14:53:02.446550,0 days 00:01:52.489245,0.5345691694565977,7,0.06432393634790727,16,0.5072528291044807,COMPLETE
9,9,0.558766725333308,2024-05-17 14:53:02.447078,2024-05-17 14:53:47.489367,0 days 00:00:45.042289,0.6898779665203325,6,0.09675944319638304,10,0.7612906893737456,COMPLETE
10,10,0.5788604525420704,2024-05-17 14:53:47.490253,2024-05-17 14:54:15.348631,0 days 00:00:27.858378,0.8374367068706743,4,0.012692501690307445,3,0.8867935919436626,COMPLETE
